Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Has Promotion,Age Group,Gender Binary,Subscription Status Binary,Has Promotion Binary
13,61,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,PayPal,Express,37,Venmo,Fortnightly,Yes,Middle age (50-64),1,1,1
14,65,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,31,PayPal,Weekly,Yes,Seniors (65+),1,1,1
15,64,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,PayPal,Free Shipping,34,Debit Card,Weekly,Yes,Middle age (50-64),1,1,1
16,64,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,8,PayPal,Monthly,Yes,Middle age (50-64),1,1,1
17,25,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,44,Debit Card,Bi-Weekly,Yes,Young Adults (18-29),1,1,1
18,53,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,Debit Card,2-Day Shipping,36,Venmo,Quarterly,Yes,Middle age (50-64),1,1,1
19,52,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Bank Transfer,Free Shipping,17,Cash,Weekly,Yes,Middle age (50-64),1,1,1
20,66,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Venmo,Standard,46,Debit Card,Bi-Weekly,Yes,Seniors (65+),1,1,1
21,21,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Credit Card,Express,50,Cash,Every 3 Months,Yes,Young Adults (18-29),1,1,1
22,31,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,22,Debit Card,Quarterly,Yes,Adults (30-49),1,1,1
23,56,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Cash,Store Pickup,32,Debit Card,Annually,Yes,Middle age (50-64),1,1,1
24,31,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Credit Card,Express,40,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
25,18,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Cash,Store Pickup,16,Debit Card,Weekly,Yes,Young Adults (18-29),1,1,1
26,18,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Bank Transfer,Express,14,PayPal,Annually,Yes,Young Adults (18-29),1,1,1
27,38,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Cash,Next Day Air,13,Credit Card,Annually,Yes,Adults (30-49),1,1,1
28,56,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Debit Card,Next Day Air,7,Bank Transfer,Every 3 Months,Yes,Middle age (50-64),1,1,1
29,54,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Debit Card,Free Shipping,41,PayPal,Every 3 Months,Yes,Middle age (50-64),1,1,1
30,31,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Venmo,Store Pickup,14,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
31,57,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Bank Transfer,Standard,16,Credit Card,Monthly,Yes,Middle age (50-64),1,1,1
32,33,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Venmo,Store Pickup,45,Venmo,Monthly,Yes,Adults (30-49),1,1,1
33,36,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Bank Transfer,Free Shipping,37,Venmo,Annually,Yes,Adults (30-49),1,1,1
34,54,Male,Pants,Clothing,38.0,Colorado,L,Green,Summer,3.3,Yes,Venmo,Store Pickup,45,Cash,Quarterly,Yes,Middle age (50-64),1,1,1
35,36,Male,T-shirt,Clothing,91.0,North Dakota,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,38,PayPal,Quarterly,Yes,Adults (30-49),1,1,1
36,54,Male,Blouse,Clothing,33.0,Massachusetts,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,48,Credit Card,Bi-Weekly,Yes,Middle age (50-64),1,1,1
37,35,Male,T-shirt,Clothing,69.0,Illinois,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,44,PayPal,Fortnightly,Yes,Adults (30-49),1,1,1
38,35,Male,Jeans,Clothing,45.0,Indiana,S,Cyan,Summer,2.8,Yes,Debit Card,Store Pickup,10,PayPal,Weekly,Yes,Adults (30-49),1,1,1
39,29,Male,Dress,Clothing,37.0,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,44,Venmo,Every 3 Months,Yes,Young Adults (18-29),1,1,1
40,70,Male,Pants,Clothing,60.0,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,18,Credit Card,Monthly,Yes,Seniors (65+),1,1,1
41,69,Male,Handbag,Accessories,76.0,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,31,Debit Card,Quarterly,Yes,Seniors (65+),1,1,1
42,67,Male,Scarf,Accessories,39.0,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,40,Venmo,Annually,Yes,Seniors (65+),1,1,1
43,20,Male,Coat,Outerwear,100.0,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,15,PayPal,Annually,Yes,Young Adults (18-29),1,1,1
44,25,Male,Scarf,Accessories,69.0,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,19,PayPal,Fortnightly,Yes,Young Adults (18-29),1,1,1
45,39,Male,Hat,Accessories,53.0,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,45,PayPal,Weekly,Yes,Adults (30-49),1,1,1
46,50,Male,Socks,Clothing,21.0,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,25,PayPal,Annually,Yes,Middle age (50-64),1,1,1
47,57,Male,Shirt,Clothing,43.0,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,45,Cash,Quarterly,Yes,Middle age (50-64),1,1,1
48,55,Male,Jewelry,Accessories,54.0,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,36,Cash,Weekly,Yes,Middle age (50-64),1,1,1
49,42,Male,Shirt,Clothing,55.0,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,38,Cash,Monthly,Yes,Adults (30-49),1,1,1
50,68,Male,Hoodie,Clothing,30.0,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,34,Debit Card,Bi-Weekly,Yes,Seniors (65+),1,1,1
51,49,Male,Blouse,Clothing,28.0,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,39,Debit Card,Bi-Weekly,Yes,Adults (30-49),1,1,1
52,59,Male,Skirt,Clothing,59.0,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,7,Credit Card,Quarterly,Yes,Middle age (50-64),1,1,1
53,42,Male,T-shirt,Clothing,20.0,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,26,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
54,29,Male,Skirt,Clothing,24.0,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,35,Credit Card,Weekly,Yes,Young Adults (18-29),1,1,1
55,47,Male,Coat,Outerwear,94.0,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,35,Debit Card,Bi-Weekly,Yes,Adults (30-49),1,1,1
56,40,Male,Jacket,Outerwear,28.0,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,49,Credit Card,Annually,Yes,Adults (30-49),1,1,1
57,41,Male,Backpack,Accessories,73.0,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,46,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
58,21,Male,Coat,Outerwear,64.0,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,17,Debit Card,Fortnightly,Yes,Young Adults (18-29),1,1,1
59,69,Male,Hoodie,Clothing,54.0,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,29,Venmo,Monthly,Yes,Seniors (65+),1,1,1
60,63,Male,Belt,Accessories,79.0,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,4,Debit Card,Weekly,Yes,Middle age (50-64),1,1,1
61,50,Male,Sweater,Clothing,37.0,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,17,Cash,Weekly,Yes,Middle age (50-64),1,1,1
62,55,Male,Scarf,Accessories,68.0,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,21,Credit Card,Every 3 Months,Yes,Middle age (50-64),1,1,1
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,31,Credit Card,Fortnightly,Yes,Adults (30-49),1,1,1
64,33,Male,Sunglasses,Accessories,79.0,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,43,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
65,65,Male,Boots,Footwear,83.0,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,18,Debit Card,Fortnightly,Yes,Seniors (65+),1,1,1
66,65,Male,Backpack,Accessories,36.0,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,44,Venmo,Every 3 Months,Yes,Seniors (65+),1,1,1
67,31,Male,Blouse,Clothing,94.0,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,3,Venmo,Every 3 Months,Yes,Adults (30-49),1,1,1
68,45,Male,Coat,Outerwear,33.0,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,49,Debit Card,Monthly,Yes,Adults (30-49),1,1,1
69,57,Male,Handbag,Accessories,46.0,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,21,Cash,Every 3 Months,Yes,Middle age (50-64),1,1,1
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,5,Cash,Weekly,Yes,Adults (30-49),1,1,1
71,22,Male,Belt,Accessories,29.0,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,32,Debit Card,Every 3 Months,Yes,Young Adults (18-29),1,1,1
72,36,Male,Dress,Clothing,48.0,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,34,Bank Transfer,Annually,Yes,Adults (30-49),1,1,1
73,18,Male,Dress,Clothing,26.0,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,21,Bank Transfer,Every 3 Months,Yes,Young Adults (18-29),1,1,1
74,48,Male,Pants,Clothing,85.0,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,43,Bank Transfer,Bi-Weekly,Yes,Adults (30-49),1,1,1
75,49,Male,Gloves,Accessories,58.0,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,3,Cash,Monthly,Yes,Adults (30-49),1,1,1
76,64,Male,Scarf,Accessories,85.0,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,21,Credit Card,Annually,Yes,Middle age (50-64),1,1,1
77,50,Male,Hat,Accessories,43.0,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,32,Venmo,Monthly,Yes,Middle age (50-64),1,1,1
78,22,Male,Dress,Clothing,53.0,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,36,Debit Card,Fortnightly,Yes,Young Adults (18-29),1,1,1
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,50,Venmo,Fortnightly,Yes,Middle age (50-64),1,1,1
80,38,Male,Jacket,Outerwear,96.0,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,43,Bank Transfer,Every 3 Months,Yes,Adults (30-49),1,1,1
81,19,Male,Sandals,Footwear,72.0,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,24,Credit Card,Every 3 Months,Yes,Young Adults (18-29),1,1,1
82,67,Male,Shoes,Footwear,96.0,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,36,Credit Card,Every 3 Months,Yes,Seniors (65+),1,1,1
83,19,Male,Pants,Clothing,28.0,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,21,Credit Card,Every 3 Months,Yes,Young Adults (18-29),1,1,1
84,36,Male,Dress,Clothing,40.0,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,34,Bank Transfer,Weekly,Yes,Adults (30-49),1,1,1
85,52,Male,Coat,Outerwear,32.0,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,42,Bank Transfer,Every 3 Months,Yes,Middle age (50-64),1,1,1
86,53,Male,Sunglasses,Accessories,95.0,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,2,Debit Card,Bi-Weekly,Yes,Middle age (50-64),1,1,1
87,24,Male,Hoodie,Clothing,41.0,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,47,Cash,Bi-Weekly,Yes,Young Adults (18-29),1,1,1
88,52,Male,Shoes,Footwear,53.0,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,44,Debit Card,Fortnightly,Yes,Middle age (50-64),1,1,1
89,33,Male,T-shirt,Clothing,47.0,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,35,Credit Card,Monthly,Yes,Adults (30-49),1,1,1
90,47,Male,Jacket,Outerwear,83.0,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,15,Cash,Quarterly,Yes,Adults (30-49),1,1,1
91,25,Male,Hat,Accessories,48.0,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,29,Credit Card,Monthly,Yes,Young Adults (18-29),1,1,1
92,44,Male,Scarf,Accessories,99.0,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,18,Credit Card,Every 3 Months,Yes,Adults (30-49),1,1,1
93,61,Male,Jacket,Outerwear,87.0,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,13,Venmo,Every 3 Months,Yes,Middle age (50-64),1,1,1
94,37,Male,Sweater,Clothing,62.0,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,46,Credit Card,Weekly,Yes,Adults (30-49),1,1,1
95,58,Male,Skirt,Clothing,76.0,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,28,Credit Card,Weekly,Yes,Middle age (50-64),1,1,1
96,37,Male,Sneakers,Footwear,100.0,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,48,PayPal,Monthly,Yes,Adults (30-49),1,1,1
97,32,Male,Gloves,Accessories,73.0,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,43,Venmo,Every 3 Months,Yes,Adults (30-49),1,1,1
98,21,Male,Shoes,Footwear,92.0,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,37,Cash,Annually,Yes,Young Adults (18-29),1,1,1
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,20,Bank Transfer,Annually,Yes,Young Adults (18-29),1,1,1
100,26,Male,Hoodie,Clothing,40.0,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,33,Debit Card,Quarterly,Yes,Young Adults (18-29),1,1,1
101,62,Male,Sunglasses,Accessories,98.0,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,31,Cash,Fortnightly,Yes,Middle age (50-64),1,1,1
102,27,Male,Coat,Outerwear,85.0,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,50,Credit Card,Bi-Weekly,Yes,Young Adults (18-29),1,1,1
103,51,Male,Socks,Clothing,67.0,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,35,Credit Card,Quarterly,Yes,Middle age (50-64),1,1,1
104,54,Male,Boots,Footwear,89.0,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,22,Venmo,Bi-Weekly,Yes,Middle age (50-64),1,1,1
105,55,Male,Sunglasses,Accessories,24.0,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,1,PayPal,Monthly,Yes,Middle age (50-64),1,1,1
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,4,Bank Transfer,Annually,Yes,Seniors (65+),1,1,1
107,64,Male,Jacket,Outerwear,35.0,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,31,Credit Card,Monthly,Yes,Middle age (50-64),1,1,1
108,28,Male,Sneakers,Footwear,67.0,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,46,PayPal,Fortnightly,Yes,Young Adults (18-29),1,1,1
109,70,Male,Socks,Clothing,79.0,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,32,Bank Transfer,Bi-Weekly,Yes,Seniors (65+),1,1,1
110,58,Male,T-shirt,Clothing,85.0,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,43,Bank Transfer,Fortnightly,Yes,Middle age (50-64),1,1,1
111,56,Male,Backpack,Accessories,26.0,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,26,Venmo,Fortnightly,Yes,Middle age (50-64),1,1,1
112,26,Male,Belt,Accessories,75.0,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,9,Credit Card,Annually,Yes,Young Adults (18-29),1,1,1
113,37,Male,Gloves,Accessories,65.0,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,28,PayPal,Bi-Weekly,Yes,Adults (30-49),1,1,1
114,44,Male,Hat,Accessories,54.0,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,20,PayPal,Quarterly,Yes,Adults (30-49),1,1,1
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,9,Cash,Weekly,Yes,Seniors (65+),1,1,1
116,53,Male,Skirt,Clothing,94.0,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,48,Debit Card,Every 3 Months,Yes,Middle age (50-64),1,1,1
117,55,Male,Shoes,Footwear,86.0,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,12,Venmo,Annually,Yes,Middle age (50-64),1,1,1
118,50,Male,Sandals,Footwear,32.0,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,29,Cash,Fortnightly,Yes,Middle age (50-64),1,1,1
119,50,Male,Sweater,Clothing,45.0,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,27,Cash,Bi-Weekly,Yes,Middle age (50-64),1,1,1
120,38,Male,Coat,Outerwear,76.0,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,44,Cash,Annually,Yes,Adults (30-49),1,1,1
121,64,Male,Hat,Accessories,84.0,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,32,Bank Transfer,Annually,Yes,Middle age (50-64),1,1,1
122,19,Male,Shorts,Clothing,72.0,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,11,Cash,Fortnightly,Yes,Young Adults (18-29),1,1,1
123,40,Male,Backpack,Accessories,40.0,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,44,Cash,Fortnightly,Yes,Adults (30-49),1,1,1
124,57,Male,Sweater,Clothing,89.0,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,46,Cash,Weekly,Yes,Middle age (50-64),1,1,1
125,44,Male,Sweater,Clothing,86.0,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,50,PayPal,Annually,Yes,Adults (30-49),1,1,1
126,49,Male,Shorts,Clothing,54.0,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,45,Venmo,Every 3 Months,Yes,Adults (30-49),1,1,1
127,43,Male,Shorts,Clothing,36.0,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,48,Cash,Every 3 Months,Yes,Adults (30-49),1,1,1
128,24,Male,Sweater,Clothing,89.0,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,26,Credit Card,Weekly,Yes,Young Adults (18-29),1,1,1
129,20,Male,Scarf,Accessories,32.0,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,21,Credit Card,Fortnightly,Yes,Young Adults (18-29),1,1,1
130,24,Male,Dress,Clothing,67.0,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,49,PayPal,Bi-Weekly,Yes,Young Adults (18-29),1,1,1
131,44,Male,Scarf,Accessories,39.0,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,13,PayPal,Fortnightly,Yes,Adults (30-49),1,1,1
132,28,Male,Skirt,Clothing,29.0,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,46,Credit Card,Weekly,Yes,Young Adults (18-29),1,1,1
133,30,Male,Backpack,Accessories,58.0,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,42,PayPal,Weekly,Yes,Adults (30-49),1,1,1
134,52,Male,Sweater,Clothing,65.0,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,25,Venmo,Annually,Yes,Middle age (50-64),1,1,1
135,43,Male,Hat,Accessories,94.0,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,25,Cash,Monthly,Yes,Adults (30-49),1,1,1
136,43,Male,Sandals,Footwear,81.0,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,12,PayPal,Quarterly,Yes,Adults (30-49),1,1,1
137,39,Male,Blouse,Clothing,86.0,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,4,Debit Card,Quarterly,Yes,Adults (30-49),1,1,1
138,68,Male,Sneakers,Footwear,43.0,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,38,PayPal,Weekly,Yes,Seniors (65+),1,1,1
139,68,Male,Skirt,Clothing,29.0,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,42,Bank Transfer,Weekly,Yes,Seniors (65+),1,1,1
140,49,Male,Coat,Outerwear,95.0,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,30,Venmo,Annually,Yes,Adults (30-49),1,1,1
141,63,Male,Shirt,Clothing,28.0,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,50,Credit Card,Weekly,Yes,Middle age (50-64),1,1,1
142,56,Male,Gloves,Accessories,46.0,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,45,PayPal,Weekly,Yes,Middle age (50-64),1,1,1
143,37,Male,Jacket,Outerwear,58.0,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,33,Credit Card,Fortnightly,Yes,Adults (30-49),1,1,1
144,30,Male,Coat,Outerwear,48.0,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,25,PayPal,Quarterly,Yes,Adults (30-49),1,1,1
145,19,Male,Shoes,Footwear,43.0,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,25,Cash,Monthly,Yes,Young Adults (18-29),1,1,1
146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,44,Debit Card,Quarterly,Yes,Young Adults (18-29),1,1,1
147,52,Male,Skirt,Clothing,30.0,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,21,Venmo,Fortnightly,Yes,Middle age (50-64),1,1,1
148,63,Male,Shoes,Footwear,64.0,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,31,Bank Transfer,Fortnightly,Yes,Middle age (50-64),1,1,1
149,37,Male,Gloves,Accessories,90.0,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,47,Debit Card,Annually,Yes,Adults (30-49),1,1,1
150,38,Male,Pants,Clothing,76.0,Delaware,M,White,Summer,3.2,Yes,Venmo,Free Shipping,14,PayPal,Monthly,Yes,Adults (30-49),1,1,1
151,35,Male,Boots,Footwear,96.0,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,17,Debit Card,Every 3 Months,Yes,Adults (30-49),1,1,1
152,28,Male,Sunglasses,Accessories,47.0,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,3,Venmo,Annually,Yes,Young Adults (18-29),1,1,1
153,30,Male,Shirt,Clothing,85.0,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,42,Venmo,Annually,Yes,Adults (30-49),1,1,1
154,69,Male,Hoodie,Clothing,55.0,North Carolina,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,22,Debit Card,Annually,Yes,Seniors (65+),1,1,1
